CANAL,# CLIENTE,DONDE PAGA
pyme,5055347,PAYPAL
residencial,11739986,SANTANDER
pyme,5051517,SANTANDER
pyme,5039032,SANTANDER
residencial,11649207,SANTANDER
pyme,5048258,MERCADO PAGO
pyme,5048591,STRIPE
RSJ,3033893,STRIPE
RSJ,3025347,STRIPE
pyme,5048605,STRIPE
pyme,5046343,MERCADO PAGO
residencial,1433257,MERCADO PAGO
residencial,1883446,MERCADO PAGO
residencial,1152462,PAYPAL
REsidencial,11645696,PAYPAL
pyme,5048827,SANTANDER
residencial,11619586,PAYPAL
residencial,11221284,PAYPAL
REsidencial,11657309,PAYPAL
pyme,5037783,PAYPAL
REsidencial,11622623,SANTANDER
pyme yucatan,011-002,STRIPE
PYME,5041833,STRIPE
REsidencial,11660096,STRIPE
REsidencial,11650759,MERCADO PAGO
REsidencial,1801936,MERCADO PAGO
pyme,5041611,MERCADO PAGO
PYME,5049271,STRIPE
RESIDENCIAL,11376259,STRIPE
PYME,5041486,SANTANDER
RESIDENCIAL,11663149,SANTANDER
pyme,5045885,SANTANDER
RESIDENCIAL,11611815,SANTANDER
RESIDENCIAL,1746051,SANTANDER
RESIDENCIAL,11668672,STRIPE
RESIDENCIAL,5033162,STRIPE
RESIDENCIAL,11669796,STRIPE
RESIDENCIAL,11671362,STRIPE
RESIDENCIAL,11588687,MERCADO PAGO
PYME,5034522,MERCADO PAGO
Residencial,1350233,MERCADO PAGO
PYME,5030234,MERCADO PAGO
PYME,5030345,MERCADO PAGO
Residencial,11463777,SANTANDER
residencial,11312646,STRIPE
residencial,11403661,STRIPE
REsidencial,1961169,PAYPAL
PYME,5030234,STRIPE
PYME,5032149,STRIPE
REsidencial,1322763,STRIPE
PYME,5028002,STRIPE
residencial,11476167,SANTANDER
REsidencial,11455231,SANTANDER
REsidencial,11417522,MERCADO PAGO
pyme,5031580,SANTANDER
pyme,5032718,SANTANDER
pyme,5012559,PAYPAL
residencial,11484949,STRIPE
pyme,5027086,MERCADO PAGO
REsidencial,11487322,STRIPE
REsidencial,1436185,STRIPE
PYME,5023478,PAYPAL
REsidencial,11484616,PAYPAL
PYME,5032371,PAYPAL
PYME,5031469,PAYPAL
REsidencial,11488890,PAYPAL
REsidencial,11490123,PAYPAL
REsidencial,11480550,PAYPAL
PYME,5028668,STRIPE
REsidencial,11493842,STRIPE
REsidencial,11495868,STRIPE
REsidencial,11496090,STRIPE
REsidencial,1279157,MERCADO PAGO
REsidencial,11497672,MERCADO PAGO
REsidencial,11497783,STRIPE
REsidencial,11487211,STRIPE
residencial,11486420,STRIPE
REsidencial,11438236,MERCADO PAGO
PYME,5033384,MERCADO PAGO
REsidencial,11502778,STRIPE
PYME,5033495,STRIPE
REsidencial,1188031,STRIPE
PYME,5030567,SANTANDER
REsidencial,11504027,SANTANDER
REsidencial,11505720,STRIPE
REsidencial,11507302,STRIPE
REsidencial,11507413,STRIPE
REsidencial,11508079,STRIPE
PYME,5033953,MERCADO PAGO
PYME,5034064,MERCADO PAGO
PYME,5029917,PAYPAL
PYME,5033620,SANTANDER
RESIDENCIAL,11401635,SANTANDER
RESIDENCIAL,11441939,STRIPE
RESIDENCIAL,11451512,STRIPE
RESIDENCIAL,11491358,STRIPE
PYME,5033273,STRIPE
RESIDENCIAL,11501432,STRIPE
RESIDENCIAL,11512351,MERCADO PAGO
RESIDENCIAL,11512462,MERCADO PAGO
PYME,5034175,MERCADO PAGO
RESIDENCIAL,11516292,STRIPE
RESIDENCIAL,11522035,STRIPE
PYME YUCATAN,011-001,STRIPE
RESIDENCIAL,11524394,PAYPAL
RESIDENCIAL,11348914,PAYPAL
RESIDENCIAL,11479442,STRIPE
RESIDENCIAL,11488002,MERCADO PAGO
RESIDENCIAL,11505720,SANTANDER
RESIDENCIAL,11529251,SANTANDER
RESIDENCIAL,11425055,STRIPE
RESIDENCIAL,11176221,STRIPE
RESIDENCIAL,11533287,PAYPAL
PYME,5031025,STRIPE
PYME,5032940,STRIPE
pyme,5035535,MERCADO PAGO
pyme,5035646,MERCADO PAGO
RESIDENCIAL,11537797,MERCADO PAGO
RESIDENCIAL,1494275,STRIPE
RESIDENCIAL,11382904,STRIPE
RESIDENCIAL,1755846,STRIPE
PYME,5034286,STRIPE
Residencial,11467274,STRIPE
residencial,11540612,STRIPE
residencial,11542291,STRIPE
Riviera Maya,RV00418,SANTANDER
Riviera Maya,RV00419,SANTANDER
Riviera Maya,RV00420,SANTANDER
Riviera Maya,RV00421,SANTANDER
Riviera Maya,RV00422,SANTANDER
pyme,5037006,STRIPE
residencial,11545788,STRIPE
residencial,11546468,STRIPE
residencial,11396973,STRIPE
PYME,5037672,STRIPE
residencial,11401746,STRIPE
REsidencial,1262146,STRIPE
residencial,11521702,STRIPE
residencial,11031485,STRIPE
residencial,11428108,STRIPE
residencial,11417522,STRIPE
residencial,1681035,MERCADO PAGO
pyme,5037450,MERCADO PAGO
residencial,11729969,STRIPE
pyme,5038241,STRIPE
residencial,11555250,MERCADO PAGO
residencial,11555361,STRIPE
PYME YUCATAN,011-003,STRIPE
REsidencial,11521702,SANTANDER
residencial,11558289,SANTANDER
residencial,11035551,PAYPAL
REsidencial,11561090,PAYPAL
pyme,5038574,PAYPAL
REsidencial,11509994,PAYPAL
residencial,11251460,MERCADO PAGO
residencial,11421669,SANTANDER
